Doctor Name,Negative_Reviews,Positive_Reviews,No_of_Negative_Reviews,No_of_Positive_Reviews,Specialty,Gender,No. of Reviews
Dr. Robert A. Langley,,"Excellent chiropractror, maybe the best in the area. Very passionate and knowledgeable about his field of practice. His main focus is definitely the wellfare of his patients, which to me, is invaluable. I have been going to the Naperville Family Chiropractic Clinic for over two years now, and would highly recommend it to anyone who is looking for a chiropractor, but does not know where to go! I'd say that, since I put myself in Dr. Langley's care, the only time I am seeing my family doctor is for the unavoidable yearly check up! Trust me! Once you're there you will be in very good hand!",,1,Chiropractor, Male,1
Dr. Robert C. Demke,,"Extremely knowledgeable, caring and current in methodology. Getting in to see him, however, can be a long wait in the office and appointment times are quite short of availability. (He splits his time between 2 offices.) Dr. Demke has been my primary care doctor since elementary school (I am a senior in college now). He has always been helpful, calming, professional, and caring. I have NEVER had a bad experience with him, and I recommend him without hesitation. Quite simply, a quality doctor AND human being. EXCELLENT PHYSICIAN, FOR ADULTS AND CHILDREN. WONDERFUL NURSE, VERY PERSONABLE, HELPFUL, ATTENTATIVE. Dr. Demke has been my family's physician for over 10 years now. Extremely satisfied.",,3,Family Doctor / G.P., Male,3
Dr. Robert C. Marks,"I was forced to see him, even though I explained to VALEO at Chicago Lakeshore Hospital that I had my own psychiatrist. He spent 5 minutes with me, was exceedingly rude, would not accept my PTSD diagnosis without my telling him the details of the trauma. When I refused, he started suggesting traumas: ""Was your mother beaten until she was bloddy and hospitalized?"" etc. Shocking. And all of this was a mere formality, since he didn't write any precriptions, didn't treat me, offered no treatment plan, etc. Besides a poor bedside manner, he struck me as a predator who enjoys capitalizing on his power when presented with patients who are at low points in their lives.","Dr. Marks was very pleasant and knowledgeable about my situation. I have since scheduled another visit, O was very impressed with him.",1,1,Psychiatrist, Male,2
Dr. Robert G. Watkins IV,,"Dr. Watkins did a ACDF for my cervical stenosis in March, 2013. I had put off surgery for my stenosis for years, knowing it would entail delicate work near the spinal cord. I have a fairly good handle on who is a good surgeon since I have defended many of them in med. malpractice cases and worked with them defending large corporations sued in personal injury cases . Dr. Watkins in my view is one of the great spine surgeons in the U.S. He explained the risks of delaying my surgery and between what he explained and the info on his web site I knew well what the ACDF entailed. I am now making a good recovery. He will promptly answer you e-mails if you have questions between your follow up visits. Note he takes Medicare but I don't think he takes other insurance. I saw Dr Robert Watkins, Jr. & will be scheduling back surgery soon. He is knowledgeable, professional, & I would highly recommend all the Drs. at Watkins Spine (..com). Many great professional athletes have been successfullysurgically treated by the DRS. there, & are still playing their chosen sports. Best Orthopedic DRS. in So. CA! I am medical professor and I have sought the advice of many LA surgeons before selecting the Watkins Spine Clinic. There is no better surgical spine care in Los Angeles and, as was my case, they often repair the mistakes of other less experienced surgeons. You would be lucky to get into this clinic, especially if you need specialized care and the latest techniques. Patients across the country and beyond, both professional athletes and others, seek their care with Dr. Watkins. Likewise all diagnostic and supportive care is superb. Dr. Watkins Jr. did my artificial disc replacement in 2007. I chose him after seven, highly respected surgeons, couldn't help me or wanted to fuse my back. Dr. Watkins is knowledgeable, kind, personable and always spends enough time with me that I leave feeling heard and satisfied with the appointment. He has had to deal with the horrible work comp restrictions I'm under but still manages to get me what I need. I'm a police officer and tell all my friends and co-workers to go to Dr. Watkins. I live in Riverside County but gladly drive to Marina del Rey to see him. I trust him with my life and my livelihood. He has the confidence needed in a great surgeon but not the outrageous ego that make some surgeons unapproachable and inflexible. I have gone to Dr. Watkins Jr. about 6 years ago and he saved my life. In my first visit he informed me of the diagnosis and after I had my sugary I have been 100% pain free. I have recommended Dr. Watkins Jr. to many people with all spine complications and every single one of then are 100% satisfied with his diagnosis and surgery. Over all I trust Dr. Watkins Jr. with my life. I had a laminectomy of L2 L3 in 2010, by Doctor Watkins,followed by a L4 L5 S1 Fusion in March of 2012. The Laminectomy was successfull in removing the pain completely! In 2012 the fusion was needed because of the over use of the disc. After the Laminectomy had healed I was swimming 1 1/2 miles per day.. I think I over did it to the lower discs that were already on edge.. Dr Watkins was very professional and I feel as he is a friend at this point.. He gave me his email address as well as his Cell phone. He has never ignored a call and is always caring. I refer this Doctor to all. Good luck!! Thanks Doctor Watkins!",,6,Orthopedic Surgeon, Male,6
Dr. Robert J. Wolf,"Dr. Wolf is personable enough, but his front desk receptionist is, without exception, rude and unfriendly - both on the telephone and in person. With all of the complaints about the staff that I've seen on this site, I am very surprised that she is still employed. Rude, disorganized staff. He tends to run late. It took 3 phone calls to get lab results 2 weeks after I had the blood tests. Not the best bedside manner. I had switched from another doctor who had retired, and was on long term medication. Dr. Wolf made me come back after just seeing him the month before in order to get a refill and he only gave me two months. Now he wants to charge $300 extra dollars a year from your pocket for 'better service'. See his website. It is there. Shouldn't you get 'better service' anyway? Why be a doctor if you don't want to give good service? I've seen Robert Wolf on two occasions the first one I was met with a $50 missed appointment fee because his staff is incompetent. The second time was to look over a sprained ankle wherein he ordered X-rays on Tuesday. The radiologist sent him the images and report later than day. I called Wednesday and was told Dr Wolf was gone but he'd get back to me. BY FRIDAY EVENING he got back to me to tell me I had a fracture. Wolf is the worst ""doctor"" I ever had the misfortune to encounter. Down to cases: 3+ WEEKS to call in a refill! He was late 1-2 hours EVERY TIME I had an appointment! Constantly makes inappropriate jokes about medical conditions! During my 3 years with him, I had three fairly minor, but annoying health issues. In each case it took 9 mos. to 1 year for him to decide what to do, and each time he had to reverse the decision when it didn't work! I FINALLY LEFT! If I weren't a fairly healthy, middle-age person, I would have left after the first visit. The staff are disorganized, unhelpful, and incompetent. They are constantly looking for misplaced records, or calling patients to cancel or postpone appointments! Seems to be trended toward seniors and ALWAYS had a medical student with him. Nice guy, but had me on prescriptions that did not help and was cautious to take me off.","Excellent Doctor. He is one of the best I’ve seen. I've been seeing him for a few years. As a healthcare professional myself, I can attest that he is an excellent clinician, knowledfeable and takes plenty of time during appointments. Easy to talk to and responsive to emailed questions. Supposedly taking care of mom-n-law. Twice he or his staff gave her antibiotc for a viral infection & the antibiotic was contraindicated with her heart meds. She needs antiviral not antibiotic!!! Malpractice quack. Where to start: His receptionist is an annoying black woman, who is very rude on the phone and in person. 2nd, I was charged 50 bucks for a missed appointment due to her incompetence. 3rd, scheduling a physical with him takes 3 months. 4th, Dr. Wolf isn't very thorough with his exams. Not a lot of preventative care or advice. He said the size of my blood cells was small and needed more lab work. I asked is it possible that it's because I donate blood. His answer? I don't know. Fine, maybe you don't know, but shouldn't you research it and get back to your patient? Nice person, but overall not a good doctor. Plenty of better options. I highly recommend Dr. Wolf. He impressed me by diagnosing my husband's condition in 2 visits (even though our former physician couldn't figure it out in 2 years!) Dr. Wolf got my husband off of unnecessary medicines and referred him to an excellent specialist. I owe my current happy home life to Dr. Wolf. He also is up-to-date with easy computer refills and records, and he gives great preventative care to both of us. I went to see doctor Wolf after my previous physician left the area at his office in Skokie. His office staff was not very professional over the phone, but I bit my lip and showed up at the appointment. It was jammed with my previous physician's patients. When I finally saw the doctor he appeared to be more interested in telling me about himself than my symptoms. I guess next appointment we would have talked about my symptoms. I let him run a blood test. You are required to call a number and get the results on a voice mail system. He said one of my tests was ""weird"". Great, I have a weird test. Needless to say, I flipped out and found another doctor ASAP. This guy's a real joke! I've seen him 4 times and we still haven't discussed ANY of my on-going symptoms. He's always late, always rushes his patients, I've seen patients leave his waiting room because they're tired of waiting. When your appointment is over the front desk gives you (at least they're supposed to; usually have to ask for it)a report/synopsis of what was done/discussed during your appointment. I should be so lucky to have had all these things discussed or done during my appointment as described on his exit report! I'm lucky to have 5 mins. with him. My last appointment I showed up at his office and there was a sign on the door stating that he was no longer at that address and it gave another address! A letter was never received letting me know he was moving. I had to rush to get to the new office on time for my appointment. Not easy when you don't know a thing about the area. I certainly don't feel confident and secure with him; he has no credibility with me.",5,7,Internist / Geriatrician, Male,12
Dr. Robert Kulkarni,"Impossible to get an appointment. Very unprofessional doctor. Only doctor who could fix my issues Brain neurologists could not He did Saved my life! I switched to him from a doctor who over-medicated me, and he assured me that he was not the type of doctor who would do that. Unfortunately, he was not very good at getting me off the medicines I was on, even though they were making me worse because they were interacting with each other. After a few years, I got another doctor who was able to straighten things out since he couldn't. So, on the plus side, he is a doctor who will listen to you rather than rush you out after 10 minutes. On the negative side, he was definitely not helpful to me so there are better doctors out there.","Dr. Kulkarni is amazing!! I have gone to him for years. He is all about mental wellness & making you well with the most minimum rx's. The reason a new patient may not be able to get an appt. is because he is that good! Get on his waitlist for new patients or go to someone else. By the way, all great doctors do the same thing because they are busy with the patients that they have & do not want to compromise the treatment of the patients they have, by taking on too many new patients. This should say a lot of his integrity, not about the money. Leaving a bad review bc of this, is simply not fair, especially a dr. you have never been to. Many many kudos to Dr. K & his wonderful staff. They are the best! terrific caring brilliant man ive seen for 20 years After years of horrible doctor experiences, I met with Dr. Kulkarni and he was compassionate, compentant and encouraging. He understood what I had been through and gave me a plan on how to get better. It was so refreshing to see a doctor who listened, understood and wants to help. He is very caring, compassionate and gives plenty of time for each patient. He is not one of the kind who just practise medicine for money.He could fix my son's problem in few months. Amazing Doctor.Very knowledgeable. Dr. Kulkarni is really the best Dr. I have ever been to. He listens, understands & his goal is to NOT have his patients on meds unless necessary & to get them off as soon as possible. Teens & adults alike, think the world of him !!",3,5,Psychiatrist, Male,8
Dr. Robert P. Radin,"I had a truly terrible experience with Dr. Radin, and regret having ever visited his office. He is rude, condescending, and unprofessional. His billing practices are questionable, and he is simply not a compassionate provider. Dr. Radin is possibly the most arrogant, condescending man I have ever met. He tried to end my hour-long appointment after only 15 minutes one time. When I try to talk to him about any issue whatsoever he makes rude remarks and laughs. He complains to me every single time we talk about how much he hates my insurance and how grateful I should be that he is willing to talk to me. 

I am desperately looking for another psychiatrist who will accept my insurance. I get such bad anxiety about going to his office but I have to for my prescription. Dr. Radin is very greedy and not at all about caring for patients. I had the worst experience seeing him and really regret trusting him. Dr. Radin charged me $25 per call to my insurance company, something that's in his job description. This ON TOP of my insurance deductible. I owed him well over $150 after my SECOND visit. Awful. Doesn't return calls, never emails when he says he will, and he's rude. Just rude. VDHP is going to have a field day with this guy. I have never met a more arrogant, condescending psychiatrist, he is very abrupt, blunt and rude. He has no people skills or compassion, how can this man be in the business of helping people with mental and emotional issues. He is very impatient and he asked me whether I was slow mentally, that is that I was stupid?!!! I have never been so insulted. I also had to cancel our appointment, 72 hours in advance, he called me back to say he doesnt allow cancellations, that he is not a clinic. I am glad to say I will not see him again and do not recommend him to anyone needing a compassionate doctor. Only chose him because he was the only available dr able to see me within two weeks, now I know why? He should be out of business with his attitudes I wasted a lot of my very hard earned money visiting this man. He is probably in my top five of the most rude, insensitive, condescending, arrogant, disrespectful and down right nasty people I have ever encountered. It's a true shame this man is a doctor that is in the business of ""helping"" people. He didn't help me at all and simply took all of my money. He only accepts cash and is a nightmare when it comes to handling insurance. I ended up paying for 2 visits out of pocket because of his incompetence handling insurance. Many of my paid visits were spent sorting out insurance and payment matters with 5 minutes of talk time left over. On numerous occasions he would even call me names. On the last occasion this occurred I simply got up and walked out in the middle of his sentence. He did nothing for me except waste my time and money. I was nothing but respectful, open, and honest to this man; in search of some help. He couldn't have been any more rude and nasty with me. He is extremely knowledgeable, but also incredibly arrogant and condescending. He was extremely close to where I live which is why I chose him initially, but after seeing him four times I decided I had no rapport with him, and he couldn't help me. He doesn't seem to care much for developing a trusting relationship with his patients, and is almost confrontational when it comes to getting information. He has no secretary and doesn't take credit card which in and of itself is not a big deal, but he is almost completely apathetic when it comes to helping you file your insurance. If you have a very straightforward problem with a straightforward solution he may be able to help you, but if you need to develop a relationship with your doctor to deal with an ongoing illness, this just isn't your guy. I had a truly terrible experience with Dr. Radin, and regret having ever visited his office. He is rude, condescending, and unprofessional. His billing practices are questionable, and he is simply not a compassionate provider. Dr. Radin is possibly the most arrogant, condescending man I have ever met. He tried to end my hour-long appointment after only 15 minutes one time. When I try to talk to him about any issue whatsoever he makes rude remarks and laughs. He complains to me every single time we talk about how much he hates my insurance and how grateful I should be that he is willing to talk to me. 

I am desperately looking for another psychiatrist who will accept my insurance. I get such bad anxiety about going to his office but I have to for my prescription. Dr. Radin is very greedy and not at all about caring for patients. I had the worst experience seeing him and really regret trusting him. Dr. Radin charged me $25 per call to my insurance company, something that's in his job description. This ON TOP of my insurance deductible. I owed him well over $150 after my SECOND visit. Awful. Doesn't return calls, never emails when he says he will, and he's rude. Just rude. VDHP is going to have a field day with this guy. I have never met a more arrogant, condescending psychiatrist, he is very abrupt, blunt and rude. He has no people skills or compassion, how can this man be in the business of helping people with mental and emotional issues. He is very impatient and he asked me whether I was slow mentally, that is that I was stupid?!!! I have never been so insulted. I also had to cancel our appointment, 72 hours in advance, he called me back to say he doesnt allow cancellations, that he is not a clinic. I am glad to say I will not see him again and do not recommend him to anyone needing a compassionate doctor. Only chose him because he was the only available dr able to see me within two weeks, now I know why? He should be out of business with his attitudes I wasted a lot of my very hard earned money visiting this man. He is probably in my top five of the most rude, insensitive, condescending, arrogant, disrespectful and down right nasty people I have ever encountered. It's a true shame this man is a doctor that is in the business of ""helping"" people. He didn't help me at all and simply took all of my money. He only accepts cash and is a nightmare when it comes to handling insurance. I ended up paying for 2 visits out of pocket because of his incompetence handling insurance. Many of my paid visits were spent sorting out insurance and payment matters with 5 minutes of talk time left over. On numerous occasions he would even call me names. On the last occasion this occurred I simply got up and walked out in the middle of his sentence. He did nothing for me except waste my time and money. I was nothing but respectful, open, and honest to this man; in search of some help. He couldn't have been any more rude and nasty with me. He is extremely knowledgeable, but also incredibly arrogant and condescending. He was extremely close to where I live which is why I chose him initially, but after seeing him four times I decided I had no rapport with him, and he couldn't help me. He doesn't seem to care much for developing a trusting relationship with his patients, and is almost confrontational when it comes to getting information. He has no secretary and doesn't take credit card which in and of itself is not a big deal, but he is almost completely apathetic when it comes to helping you file your insurance. If you have a very straightforward problem with a straightforward solution he may be able to help you, but if you need to develop a relationship with your doctor to deal with an ongoing illness, this just isn't your guy.","Dr. Radin is very compassionate and listens intently to his patients. With his skills and experience, he is able to hone in on the true cause of the patient's distress, something that previous therapists have missed. When meds are needed, he will prescribe them with great care and will follow up continually, always listening to the patient's feedback. Thanks to his therapy, my life has been transformed. While I initially thought he was a fine Psych (if just not for me) recent behavior around reimbursement checks from Insurance and attempting to take extra money from them has made me reconsider whether his priorities are really with the patients. Dr. Radin is highly professional, empathetic and perceptive. He sees beyond the obvious and helps me to realize what was previously unknown to me. He is also very knowledgeable about medications. I think Dr. Radin is mis-understood. I've been seeing him for 5 years now and can see while some may find him a bit cold at first. I personally like to challenge him and be challenged by his perspective on things. I think a lot of doctors in this field will simply follow a formulaic approach while he is blunt and attempts to get to the bottom of issues. It does take a bit of self-confidence to work with him, but once you get past his mannerisms, he can be extremely helpful and will research things and work with you to find solid solutions. Very knowledgable in his field and someone you can be quite frank with and even directly question his own analysis. He is not always spot on with his assessments, but is willing to put his ego aside when you challenge him, and quite frankly, bring out the best of what he has to offer. Wow. I called to schedule an appointment as a new patient who just moved to the state. I explained that I found his name through my insurance company, and he informed me I must be wrong because he had never heard of them. Then he said ""I don't have time to talk to you anyway"" and hung up on me. Incredibly rude. Suppose it's for the best, as I can't exactly see myself opening up to someone so insensitive about my psychological issues. I can only imagine how he must treat his patients. I don't understand the negative reviews...I've seen over 5 different psychiatrists for my (serious, but treatable) mental condition over the years, and he is by far the best. He can be a bit gruff over the phone, but is friendly and kind in his office. I believe that he is extremely knowledgeable; also, according to the framed diploma in his office he went to Cornell. Dr. Radin even discussed my case with other psychiatrists in an attempt to determine my diagnosis (strangely, even after all these years, it's not clear what my exact diagnosis is.) Finally, this may sound odd, but he has had a way of making me think positively about my strengths. I feel that his tendency to highlight my good qualities is helpful both in establishing rapport and in improving my self-esteem. I'm sure that sounds odd, but I think it really is important for any psychiatrist to be kind, positive, and competent. Dr. Radin has been all of these things. Dr. Radin is very compassionate and listens intently to his patients. With his skills and experience, he is able to hone in on the true cause of the patient's distress, something that previous therapists have missed. When meds are needed, he will prescribe them with great care and will follow up continually, always listening to the patient's feedback. Thanks to his therapy, my life has been transformed. While I initially thought he was a fine Psych (if just not for me) recent behavior around reimbursement checks from Insurance and attempting to take extra money from them has made me reconsider whether his priorities are really with the patients. Dr. Radin is highly professional, empathetic and perceptive. He sees beyond the obvious and helps me to realize what was previously unknown to me. He is also very knowledgeable about medications. I think Dr. Radin is mis-understood. I've been seeing him for 5 years now and can see while some may find him a bit cold at first. I personally like to challenge him and be challenged by his perspective on things. I think a lot of doctors in this field will simply follow a formulaic approach while he is blunt and attempts to get to the bottom of issues. It does take a bit of self-confidence to work with him, but once you get past his mannerisms, he can be extremely helpful and will research things and work with you to find solid solutions. Very knowledgable in his field and someone you can be quite frank with and even directly question his own analysis. He is not always spot on with his assessments, but is willing to put his ego aside when you challenge him, and quite frankly, bring out the best of what he has to offer. Wow. I called to schedule an appointment as a new patient who just moved to the state. I explained that I found his name through my insurance company, and he informed me I must be wrong because he had never heard of them. Then he said ""I don't have time to talk to you anyway"" and hung up on me. Incredibly rude. Suppose it's for the best, as I can't exactly see myself opening up to someone so insensitive about my psychological issues. I can only imagine how he must treat his patients. I don't understand the negative reviews...I've seen over 5 different psychiatrists for my (serious, but treatable) mental condition over the years, and he is by far the best. He can be a bit gruff over the phone, but is friendly and kind in his office. I believe that he is extremely knowledgeable; also, according to the framed diploma in his office he went to Cornell. Dr. Radin even discussed my case with other psychiatrists in an attempt to determine my diagnosis (strangely, even after all these years, it's not clear what my exact diagnosis is.) Finally, this may sound odd, but he has had a way of making me think positively about my strengths. I feel that his tendency to highlight my good qualities is helpful both in establishing rapport and in improving my self-esteem. I'm sure that sounds odd, but I think it really is important for any psychiatrist to be kind, positive, and competent. Dr. Radin has been all of these things.",14,12,Psychiatrist, Male,13
Dr. Robin D. Snead,,"Dr Snead is a good doctor, hoever the wait in her over warm waiting room is always in excess of 1.5 hr, and thats on a good day Dr. Snead is very personable and exceptionally caring. She listens to your concerns and is able to explain things so you understand. Dr. Snead is ok for normal items, but does not think out of the box.",,3,Internist / Geriatrician, Female,3
Dr. Roger A. MacDuff,"I had very bad experience with this doctor. He smiles to you all the time, however, he does not really care about you. He often forget to give you the lab orders or to change your prescription. I will not recommend this doctor.","I have had 5 different doctors. After a few miscarriages I decided to look for the best Dr. in IL. I met with Dr. Macduff once who referred me to a specialist. He was nice during that visit. After learning I was pregnant, I tried to schedule an appointment with him and thats when the nightmare started. The nurses were no help and I was told making an appointment with him was not ""how it worked"". With a high risk pregnancy, they ended up not seeing me based on the decision of a Dr. who was not my Dr. in first place. I would not recommend this office especially if you are looking for a Dr. and staff who care about you and don't see you just as another number. Dr. MacDuff is wonderful and if it wasn't for the other horrible doctors and front desk staff I would still be at his practice. My husband and I loved seeing Dr. MacDuff throughout my pregnancy and looked forward to seeing him with our next. However; when we found out we were expecting again they couldn't get us in until well into our first trimester. The office staff didn't care that I was concerned. He took his time with his patients which is probably why he was always behind. Its a shame that they run the office the way they do because he is a wonderful doctor but not worth the hassle. Dr. MacDuff cared for for many years. He always took his time to go through my medical history, answer all my questions and concerns. He performed my myomectomy under very stressful conditions when storm came through and power went off. Generators failed as well. All during my surgery. He kept my family informed and calmed them down. 3 years later he delivered my daughter via c-section. I couldn't ask for a better doctor. When we moved o a different state I was very anxious that I won't be able to such good doctor. I highly recommend Dr. MacDuff. Doctor MacDuff is my,current Doctor and he really is great. He takes his time and educate on the problem gives you as many options as he can.if something is wrong he is there to fix it, ive been lucky to have him as my Doctor. Ive had surgery with him and he was the first face I saw the next morning ,this is not just a job to him he really cares !!! Doctor MacDuff is AMAZING. If anyone has had a colposcopy before they can be nervewracking and painful. Dr. MacDuff is the only doctor in my experience who completed the procedure without causing ANY pain. He educates his patients very well. Excellent Doctor! with overwhelming patient loads, patience is something you rarely find in a Doctor any more and I believe he is one in a million. Dr. MacDuff delivered my daughter. He is always helpful and personable. I wish I was able to see him for every on of my visits. I have had some severe health issues over the last 5 years. Dr. MacDuff has worked with me to find the right treatment plan. He is always very thorough. He takes the time to explain to me what all of my options are; as well as review all of the pros/cons for these options. He makes me feel comfortable and is never too busy to answer my questions. I have referred him to several friends and family and will definitely refer him to the others in the future. Dr. MacDuff is great, like the other reviewers he is through, patient, and funny. He makes me feel at ease and he makes the exams much less nervewracking. I ask many questions and he is not at all bothered by them, and takes the time to explain the answers in full detail. I do wish he followed up more, but I'm sure just like any doctor, they are very busy and he is doing his best. Besides I actually do the following up, which is what one should do anyway, and not wait for someone to follow up for you. I would recommend him to anyone. I had Dr MacDuff during my first pregnancy(high risk) and he was during delivery. He is the most wonderful doctor I've ever met. So patient, calm and explains everything. He doesn't rush and I felt confident having him as my doctor. Amazing person:) Dr. MacDuff is FANTASTIC! He is very thorough and answers all your questions. His bedside manner is exceptionally calm and caring. I would highly recommend him! Dr. MacDuff was my OB/GYN during my second pregnancy and also delivered my child. He is wonderful - - the best doctor I've ever had, in any speciality, in my entire life. He takes time with his patients and you never feel as if he is rushing you. He asks plenty of questions and is very thorough. He is gentle and puts you at ease during exams. He never makes you feel uncomforable and provides a high level of care. I highly recommend Dr. MacDuff as an OB/GYN to women in the Elmhurst/Lombard area.",1,11,Gynecologist (OBGYN), Male,12
Dr. Roger B. Duda,,"Our entire family has been going to Dr. Duda for several years, and we are thankful for his excellent understanding of health. I've been to many chiropractors during the years, but the upper cervical care from Dr. Duda has helped me deal with the root of my neck problems. His goal is to get your body to do what God designed it to do in the first place: be healthy. Dr. Duda can change your life!!! Give his style of chiro care a try~you will be amazed!!",,2,Chiropractor, Male,2
Dr. Roozbeh Badii,,"sharp and knowledgable, thorough care and extremely efficient sharp and knowledgable, thorough care and extremely efficient",,2,Internist / Geriatrician, Male,1
Dr. Ruth M. Calderon Collado,,"My primary physician Dr Ruth Calderon,is the nicest and the most knowledgeable doctor,in the whole wide world. She is also a awesome pastor. Lol always. Praying 🙏 My primary physician Dr Ruth Calderon,is the nicest and the most knowledgeable doctor,in the whole wide world. She is also a awesome pastor. Lol always. Praying 🙏",,2,Family Doctor / G.P., Female,1
Dr. Salvador R. Yunez,This doctor was the only one who find out what I have and cure me.,best doctor I have in many years,1,1,Family Doctor / G.P., Male,2
Dr. Sandra L. Hoogland,I was a patient for years. She delivered one of my children. Great person but not always available for appointments which is why I left. Could stand to listen more and take complaints seriously.,,1,,Family Doctor / G.P., Female,1
Dr. Scott A. CLARKE,,"Great service by staff and Dr. Clark. He explains explains everything so you can understand. He is very thorough. We had a great experience. He was great with all five of our kids and he saw them all at once. I think they were running a bit behind but I also think he was trying to get everyone finished up so they could accommodate our large family at once. This was our first trip there and I was very very please with the service we received. I've been wearing glasses for 51 yrs., Dr Scott Clarke is the best optometrist I've had the pleasure of knowing. He's extremely thorough, and speaks in a laymen language. Dr. Clarke explains in terms I understand. He talks to me like a person, not a patient. I really love going to his office because all his staff is so polite and nice. I recomend him to everyone.",,4,Optometrist, Male,4
Dr. Scott David Glazer,"Upon calling 847.459.6611 to make a new patient appointment I was ""greeted"" by a very rude woman. My call was an obvious inconvenience to her and when I pointed that out, she hung up on me. Needless to say I will be contacting another dermatologist. I hope the Dr. himself or an office manager monitors these reviews. The call to the aforementioned number was made 2/13/16 at 10:04am. On a normal day, he comes off as uncaring and a pompous ass. When I thought that ran out of medicaton one day early, he then turned 100% unprofessional even yelling at me in his office to a point where I was crying. He actually said ""I don't trust you now"". Long story short? Do NOT use this doctor! He has no bedside manner, extremely unprofessional and has no compassion! very knowledgeable, but seems to have little time to explain diagnosis or procedures.","I've always been pleased with Dr. Glazer's manner, knowledge, and staff. In my experience, he's always been punctual. I have gone to Dr. Glazer for many years and have referred him to many people. He is just an outstanding dermatologist. Always fixes the problem. Not an alarmist and very low key. Very knowledgeable. Simply the best! This doctor triple books his appointments. He is always about 40 minutes late and give about 2 minutes to a patient. He runs his practice like a doctor factory and can easily miss a critical symptom. Next time I'll go to a doctor that cares about his patients and not just the volume he can run through his office in a day. In my opinion, He's a malpractice situation waiting to happen. Love him... I've been seeing him since I was little to have my moles checked out. My husband and kids also see him. He gives me his time. I never feel like I'm being rushed out. When it comes to skin I don't think there is anything he can't do. I started seeing Dr. Glazer in the early 80s.He is the best.Today I travel over an hour to go see him, but he`s well worth the drive!! Always helpful in explaining, always very little wait. Really and truly, the TOPS in his field. Best there is. The whole practice is great. I've been going to Dr Glazer since the early 90's and found him to be tops in his field. His medicinal cream (purchased at his office) beats anything at the pharmacy, and his technique for treatment of my skin disorder was far more creative than any other doctor had demonstrated. My daughter has reported good results after being treated by him for her facial acne. Best dermatologist in Chgoland. I have gone to Dr. Glazer for years. I think he is the greatest. he has helped me so much, always taking the time to listen - I have receommended many people to him and they love him too. I have a skin condition, hello, he wouldn't even look me in the face much less my skin. He said that my condition was not cureable and that I should try some of the free samples that the receptionist would give me, plus his own preparation which I had to pay for. I will never go back there again. I went to another dermatologist that was not on my HMO and she spent an hour with me looking at my skin, and scalp and discussing treatment plans. What a difference!!!",4,10,Dermatologist, Male,15
